Generation,BestFitness,AvgFitness,WorstFitness,bestCx,bestCy,bestR
0,1.38286,0.115753,1e-06,2.89199,2.73351,1.38286
1,1.38286,0.127587,1e-06,2.89199,2.73351,1.38286
2,1.43445,0.124115,1e-06,2.95628,2.85384,1.43445
3,1.43445,0.115926,1e-06,2.95628,2.85384,1.43445
4,1.43445,0.12687,1e-06,2.95628,2.85384,1.43445
5,1.43445,0.141114,1e-06,2.95628,2.85384,1.43445
6,1.43445,0.143507,1e-06,2.95628,2.85384,1.43445
7,1.71797,0.137185,1e-06,2.95616,2.94438,1.71797
8,1.71797,0.126781,1e-06,2.95616,2.94438,1.71797
9,1.88937,0.14833,1e-06,2.89376,3.01243,1.88937
10,1.88937,0.148719,1e-06,2.89376,3.01243,1.88937
11,1.88937,0.123855,1e-06,2.89376,3.01243,1.88937
12,1.88937,0.175978,1e-06,2.89376,3.01243,1.88937
13,1.88937,0.212032,1e-06,2.89376,3.01243,1.88937
14,1.89006,0.242059,1e-06,2.8937,3.01243,1.89006
15,1.93878,0.22476,1e-06,2.9562,3.01243,1.93878
16,1.93879,0.208882,1e-06,2.9562,3.01191,1.93879
17,1.93879,0.217089,1e-06,2.9562,3.01191,1.93879
18,1.93879,0.184211,1e-06,2.9562,3.01191,1.93879
19,1.93879,0.158995,1e-06,2.9562,3.01191,1.93879
20,1.93879,0.160056,1e-06,2.9562,3.01191,1.93879
21,1.94387,0.203689,1e-06,2.9562,3.01185,1.94387
22,1.94387,0.206548,1e-06,2.9562,3.01185,1.94387
23,1.94387,0.151072,1e-06,2.9562,3.01185,1.94387
24,1.94387,0.157638,1e-06,2.9562,3.01185,1.94387
25,1.94387,0.158049,1e-06,2.9562,3.01185,1.94387
26,1.94387,0.187545,1e-06,2.9562,3.01185,1.94387
27,1.94387,0.159613,1e-06,2.9562,3.01185,1.94387
28,1.94387,0.1516,1e-06,2.9562,3.01185,1.94387
29,1.94387,0.153161,1e-06,2.9562,3.01185,1.94387
30,1.94387,0.170867,1e-06,2.9562,3.01185,1.94387
31,1.94387,0.211271,1e-06,2.9562,3.01185,1.94387
32,1.94387,0.247018,1e-06,2.9562,3.01185,1.94387
33,1.94387,0.22939,1e-06,2.9562,3.01185,1.94387
34,1.94387,0.201042,1e-06,2.9562,3.01185,1.94387
35,1.94387,0.246489,1e-06,2.9562,3.01185,1.94387
36,1.94387,0.208012,1e-06,2.9562,3.01185,1.94387
37,1.94387,0.185272,1e-06,2.9562,3.01185,1.94387
38,1.94387,0.225611,1e-06,2.9562,3.01185,1.94387
39,1.94387,0.181934,1e-06,2.9562,3.01185,1.94387
40,1.94387,0.18772,1e-06,2.9562,3.01185,1.94387
41,1.94387,0.186141,1e-06,2.9562,3.01185,1.94387
42,1.94416,0.183455,1e-06,2.9567,3.02747,1.94416
43,1.94416,0.174893,1e-06,2.9567,3.02747,1.94416
44,1.94416,0.169647,1e-06,2.9567,3.02747,1.94416
45,1.94416,0.159833,1e-06,2.9567,3.02747,1.94416
46,1.94416,0.166489,1e-06,2.9567,3.02747,1.94416
47,1.94416,0.170194,1e-06,2.9567,3.02747,1.94416
48,1.94416,0.190541,1e-06,2.96451,3.02747,1.94416
49,1.94416,0.132322,1e-06,2.96451,3.02747,1.94416
50,1.94416,0.136576,1e-06,2.96451,3.02747,1.94416
51,1.94416,0.126537,1e-06,2.96451,3.02747,1.94416
52,1.94416,0.135028,1e-06,2.96451,3.02747,1.94416
53,1.94416,0.174077,1e-06,2.96451,3.02747,1.94416
54,1.94416,0.167568,1e-06,2.96451,3.02747,1.94416
55,1.94416,0.195486,1e-06,2.96451,3.02747,1.94416
56,1.94416,0.182068,1e-06,2.96451,3.02747,1.94416
57,1.94416,0.182467,1e-06,2.96451,3.02747,1.94416
58,1.94416,0.196103,1e-06,2.96451,3.02747,1.94416
59,1.94416,0.210307,1e-06,2.96451,3.02747,1.94416
60,1.94416,0.2112,1e-06,2.96451,3.02747,1.94416
61,1.94417,0.178467,1e-06,2.9567,3.02968,1.94417
62,1.94417,0.171453,1e-06,2.9567,3.02968,1.94417
63,1.94417,0.134742,1e-06,2.9567,3.02968,1.94417
64,1.94417,0.12628,1e-06,2.9567,3.02968,1.94417
65,1.94417,0.0935167,1e-06,2.9567,3.02968,1.94417
66,1.94417,0.144133,1e-06,2.9567,3.02968,1.94417
67,1.94417,0.187925,1e-06,2.9567,3.02968,1.94417
